,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
134,нефть,РН-ТОМСКН-2017-9,нск ф-114 к.25-уз.вр.к.25 90м от к.25,Нижневартовский,78.933794,60.804716,земли лесного фонда,0.2335,0.14,-,2017-02-02 00:00:00
135,нефть,РН-ТОМСКН-2017-11,"нск ф-159 к.37 - вр.к.33, 542м от к.37",Нижневартовский,79.033013,60.853884,земли лесного фонда,0.5238,17.11,-,2017-06-21 00:00:00
136,нефть,РН-ТОМСКН-2017-12,"нск ф-159 к.37 - уз.вр.к.33, 200м, 250м от к. 37",Нижневартовский,79.04016,60.853774,земли лесного фонда,0.0887,3.57,-,2017-08-10 00:00:00
137,нефть,РН-ТОМСКН-2017-15,"нск ф-159 к.17 - уз.вр.в ГПМТ, 385м, 388м от к.17",Нижневартовский,78.934647,60.855874,"земли лесного фонда, земли промышленности",0.1263,23.42,-,"08.11.2017
07.11.2018"
138,нефть,РН-ТОМСКН-2017-18,в/линия ф-114 к.7 скв.614 105м от скв.,Нижневартовский,78.87449998,60.87840259,"земли лесного фонда, земли промышленности",0.8248,220.2,-,2017-12-22 00:00:00
139,вмж,РН-ТОМСКН-2017-20,"ВВД ф-114 БКНС-18 - к.73, 960м от БКНС-18",Нижневартовский,79.001111,60.941389,"земли лесного фонда, земли промышленности",0.0261,1.714,-,2017-03-30 00:00:00
140,вмж,РН-ТОМСКН-2017-22,"ВВД ф-325, уз.вр. ЦПС – БКНС 15, 1835м от уз. вр. ЦПС",Нижневартовский,78.913439,60.894874,земли лесного фонда,0.059,0.433,-,2017-06-01 00:00:00
141,газовый конденсат,РН-ТОМСКН-2017-25,"ГП ф-426 ГКС Вах - ГРС ЦТП,44445м от ГКС",Нижневартовский,78.143626,60.820171,земли лесного фонда,0.1682,74.99,-,2017-04-26 00:00:00
142,нефть,РН-ТОМСКН-2018-1,"нск к.51 - УПСВ-6, 2930м, 2954м, 2970м от к.51",Нижневартовский,78.991527,60.934853,земли лесного фонда,0.2633,36.51,-,"09.01.2018
21.10.2018
10.07.2019"
143,нефть,РН-ТОМСКН-2018-2,"нск к.28 - уз.вр.к.28,1258м, 1346м от к.28",Нижневартовский,78.92945,60.79937,"земли лесного фонда, земли промышленности",0.1662,12.79,-,2018-01-17 00:00:00
