,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
181,нефть,РН-ТОМСКН-2018-23,"нск ф-114 к.238 - вр.к.38, 600м от к.238",Нижневартовский,77.13192,60.88331,земли лесного фонда,0.9753,224.1,-,2018-11-28 00:00:00
182,вмж,РН-ТОМСКН-2018-24,"ВВД уз.вр.к.94 - к.94 (898),  1750м от уз.вр.к.94",Нижневартовский,77.143745,60.870477,земли лесного фонда,0.23,300.973,-,2018-09-10 00:00:00
183,нефть,РН-ТОМСКН-2019-4,"НС ф-159 к.257б - к.248 - ДНС-13, 688м от к.257б",Нижневартовский,77.03606,60.96702,земли запаса,1.0302,74.145,-,2019-08-19 00:00:00
184,вмж,РН-ТОМСКН-2019-6,"ВВД ф-168 БКНС-7 - вр.к.96 (1042), 51,50, 2060м от БКНС-7",Нижневартовский,77.02824,60.87716,земли лесного фонда,0.6965,62.85,-,2019-05-19 00:00:00
185,вмж,РН-ТОМСКН-2019-7,"ВВД ф-159 БКНС-7 - ВРГ-204, 1865м от БКНС-7",Нижневартовский,77.03203,60.86345,земли лесного фонда,0.0154,4.9,-,2019-11-12 00:00:00
186,нефть,РН-ТОМСКН-2020-16,"НС ф-114 уз.вр.к.104 - гр.к.42, 0,5м, 4м от уз.вр.к.104",Нижневартовский,77.040026,60.852692,земли лесного фонда,0.0411,0.2,-,"10.02.2020
11.05.2020"
187,нефть,РН-ТОМСКН-2020-17,"НС ф-325 гр.УПСВ-9 - УПСВ-9, 70м, 110м от гр.УПСВ-9",Нижневартовский,77.061846,60.873054,"земли промышленности, земли лесного фонда",0.086,0.57,-,"23.04.2020
07.05.2020"
188,нефть,РН-ТОМСКН-2020-18,"НС ф-159 вр.ЗУ-207 - гр.к.206, 0,1м от вр.ЗУ-207",Нижневартовский,77.031006,60.912791,"земли промышленности, земли лесного фонда",0.0321,0.69,-,2020-06-21 00:00:00
189,нефть,РН-ТОМСКН-2020-19,"НС ф-114 к.93 - вр., 220м от к.93",Нижневартовский,77.128164,60.869385,земли лесного фонда,0.0345,31.5,-,2020-07-03 00:00:00
190,нефть,РН-ТОМСКН-2020-20,"НС ф-114 к.93 - вр., 35м от к.93",Нижневартовский,77.12994,60.8684,земли лесного фонда,0.0271,1.34,-,2020-07-24 00:00:00
191,нефть,РН-ТОМСКН-2020-21,"НС ф-159 ЗУ-94 - ДНС-7, 520м от ЗУ-94",Нижневартовский,77.13798,60.86088,земли лесного фонда,0.015,после паспортизации 2021г.,-,2020-09-22 00:00:00
192,вмж,РН-ТОМСКН-2020-22,"ВВД ф-168 БКНС-7-вр.к.96(1042), 51, 50 2040 метров от БКНС-7 ",Нижневартовский,77.02752,60.87756,"земли лесного фонда, земли промышленности",0.743,79,-,2020-01-10 00:00:00
193,вмж,РН-ТОМСКН-2020-23,"ВВД ф-114 уз.вр.к.94 - к.94 (898), 3м от уз.вр.",Нижневартовский,77.14606,60.86248,земли лесного фонда,0.0844,45,-,2020-04-06 00:00:00
195,нефть,РН-ТОМСКН-2013-41,"нск ф-114  к.17 - вр.к.18  754м, 760м, 775м от ЗУ к.17",Нижневартовский,76.47793,60.567271,земли лесного фонда,0.159,205,-,"16.01.2013
07.12.2016
24.08.2019"
196,нефть,РН-ТОМСКН-2013-43,к.18 - УПСВ-2 (750 - 1150м от куста 18),Нижневартовский,76.48951,60.568063,земли лесного фонда,3.131,1.728,-,1905-06-28 00:00:00
197,нефть,РН-ТОМСКН-2019-28,"НС ф-114 к.30 - уз.вр.к.28,30, 920м от к.30",Нижневартовский,76.46859,60.64235,земли лесного фонда,0.0099,0.35,-,2019-11-28 00:00:00
199,нефть,РН-ТОМСКН-2015-37,"нск ф-219 вр.к.2,к.1 - УПСВ-Сев, 3300м, 3360м, 3380м от вр.к.2,к,1",Нижневартовский,78.541493,60.801013,земли лесного фонда,0.1967,4.18,-,"01.02.2015
13.05.2017
22.04.2018"
200,нефть,РН-ТОМСКН-2017-31,"нск ф-219 вр.к.2с,1с - УПСВ-Сев, 2390м от вр.к.2с,1с",Нижневартовский,78.53923796,60.79469023,земли лесного фонда,0.4377,500,-,2017-09-15 00:00:00
201,нефть,РН-ТОМСКН-2018-26,"НСК  вр.к.2с,к.1с - УПСВ-Сев, 3050м, 3085м от вр.к.2с,к.1с",Нижневартовский,78.53898,60.800208,земли лесного фонда,0.4155,21.11,-,"19.06.2018
13.11.2018"
202,нефть,РН-ТОМСКН-2019-29,"НСК ф-168 уз.вр.к.6с,7с,8с - УПСВ Сев, 1м от уз.вр.к.6с,7с,8с",Нижневартовский,78.54009,60.811394,земли лесного фонда,0.0743,38.331,-,2019-02-19 00:00:00
203,нефть,РН-ТОМСКН-2020-24,"НС ф-159 к.5с-вр., 300м от к.5с",Нижневартовский,78.5396,60.7915,"земли лесного фонда, земли промышленности",0.4328,272.3,-,2020-04-11 00:00:00
204,нефть,РН-ТОМСКН-2020-25,"НС ф-159  к.2с - вр., 1796м от к.2с",Нижневартовский,78.52476,60.77902,земли лесного фонда,0.005,после паспортизации 2021г.,-,2020-11-27 00:00:00
206,нефть,РН-ТОМСКН-2013-51,"НСК ф-168 к.16-гр.к.23, 2430м, 2540м, 2690м от к.16",Нижневартовский,76.79726,60.860353,земли промышленности,2.9,2.58,-,"06.08.2011
05.11.2011    07.03.2012"
207,нефть,РН-ТОМСКН-2016-45,"нск ф-159 уз.вр.к.19 - уз.вр.к.21, 5м от уз.вр.к.21",Нижневартовский,76.81232999,60.84666162,земли промышленности,0.039,349,-,2016-01-08 00:00:00
208,нефть,РН-ТОМСКН-2018-30,"нск уз.вр.к.19 - уз.вр.к.21, 90м от уз.вр.к.19",Нижневартовский,76.813397,60.84699,земли запаса,0.01,4.33,-,2018-04-02 00:00:00
209,нефть,РН-ТОМСКН-2018-31,"нск уз.вр.к.19 - уз.вр.к.21, 250м от уз.вр.к.19",Нижневартовский,76.816007,60.847803,земли запаса,0.0541,12.78,-,2018-06-10 00:00:00
210,нефть,РН-ТОМСКН-2019-23,"НС ф-114 уз.вр.к.21 - уз.вр.к.23, 560м от уз.вр.к.21",Нижневартовский,76.827505,60.855389,"земли лесного фонда, земли промышленности",0.013,3.186,-,2019-06-27 00:00:00
212,нефть,РН-ТОМСКН-2016-48,"380 м  в сторону БКНС-30, УПСВ-2 от перекрестка а/д на к.2, к.3, к.4 (с правой стороны)",Сургутский,75.70106971,59.27709895,земли лесного фонда,0.28,260,-,2003-12-18 00:00:00
213,нефть,РН-ТОМСКН-2018-33,"нск вр.скв.2289р - к.61, 80м от вр.скв.2289",Сургутский,75.64678,59.17767,земли лесного фонда,0.1206,204.1,-,2018-03-24 00:00:00
214,нефть,РН-ТОМСКН-2019-25,"НВЛ ф-89 скв.2289р - вр.скв.2289р, 70м от скв.2289р",Сургутский,75.63123,59.16032,земли лесного фонда,0.0905,96,-,2019-11-21 00:00:00
215,нефть,РН-ТОМСКН-2019-26,"НВЛ ф-89 скв.2281р - вр.скв.2289р, 20м от скв.2281р",Сургутский,75.64463,59.17703,земли лесного фонда,0.4341,145,-,2019-11-20 00:00:00
221,подтоварная вода,РН-ЮНГ-2013-6,"шурф №1,2 (водозаб. скв.) – к.4 (30м от шурфа №1,2)",Нефтеюганский,72.1852,60.8231,земли лесного фонда,0.0038,не учитывается,вне акватоий,2012-06-26 00:00:00
222,подтоварная вода,РН-ЮНГ-2013-7,"«Шурф» №1,2 – к.4 (100м от Шурфа №1,2)",Нефтеюганский,72.1853,60.8232,земли лесного фонда,0.0056,не учитывается,вне акватоий,2012-07-10 00:00:00
223,подтоварная вода,РН-ЮНГ-2013-8,т.вр.4-т.вр.1 (945м от т.4),Нефтеюганский,72.1907,60.8301,"земли промышленности, земли запаса",0.0583,не учитывается,вне акватоий,2014-01-23 00:00:00
224,подтоварная вода,РН-ЮНГ-2013-9,т.вр.5-к.5 (20м от т.вр.5),Нефтеюганский,72.2145,60.8236,земли лесного фонда,0.0215,не учитывается,вне акватоий,2012-12-29 00:00:00
225,подтоварная вода,РН-ЮНГ-2014-2,к.4ВП - т.вр.4 (150м от к.4ВП в сторону т.вр.4),Нефтеюганский,72.18861111111111,60.82277777777778,земли населенных пунктов; земли лесного фонда,0.0072,не определялся,вне акватоий,2014-03-24 00:00:00
226,подтоварная вода,РН-ЮНГ-2015-4,т.4(вр.в к.1) - к.8,Нефтеюганский,72.19277777777778,60.815555555555555,земли лесного фонда,0.0056,не определялся,вне акватоий,2015-09-22 00:00:00
227,подтоварная вода,РН-ЮНГ-2015-5,т.1(вр.в к.1) - т.2(вр. к.2),Нефтеюганский,72.19666666666667,60.83305555555556,земли лесного фонда,0.0098,не определялся,вне акватоий,2015-09-23 00:00:00
228,подтоварная вода,РН-ЮНГ-2015-6,т.4(вр.к.8) - т.1,Нефтеюганский,72.19222222222223,60.82333333333334,земли лесного фонда,0.0036,не определялся,вне акватоий,2015-10-29 00:00:00
229,подтоварная вода,РН-ЮНГ-ВП-2018-1,т.вр.4-к.8ВП,Нефтеюганский,72.19222222222223,60.82138888888889,земли лесного фонда ,0.049174079999999995,не учитывается,вне акваторий,25.01.18 (14:05)
230,ВНЭ,РН-ЮНГ-ВП-2018-2,к.6ВП - т.вр.4,Нефтеюганский,72.23,60.82194444444445,земли лесного фонда ,0.3312,не учитывается,вне акваторий,29.11.2018 15:55
231,подтоварная вода,РН-ЮНГ-ВП-2019-1,т.вр.3-т.вр.5,Нефтеюганский,72.19277777777778,60.825833333333335,земли лесного фонда ,0.0399,не учитывается,вне акваторий,2019-01-25 00:00:00
232,подтоварная вода,РН-ЮНГ-ВП-2019-3,т.вр.4-к.8ВП,Нефтеюганский,72.19222222222223,60.82222222222222,земли промышленности; земли лесного фонда ,0.0455,не учитывается,вне акваторий,2019-03-25 00:00:00
233,подтоварная вода,РН-ЮНГ-ВП-2019-5,т.вр.4-к.8ВП,Нефтеюганский,72.19222222222223,60.82194444444445,земли лесного фонда ,0.0075,не учитывается,вне акваторий,2019-04-29 00:00:00
234,ВНЭ,РН-ЮНГ-ВП-2019-6,к.3ВП-т.вр.1,Нефтеюганский,72.215,60.83388888888889,земли лесного фонда ,0.0238,не учитывается,вне акваторий,2019-07-01 00:00:00
235,ВНЭ,РН-ЮНГ-ВП-2019-7,к.6ВП - т.вр.4,Нефтеюганский,72.24277777777777,60.821111111111115,земли промышленности; земли лесного фонда ,0.0016,не учитывается,вне акваторий,2019-11-15 00:00:00
236,ВНЭ,РН-ЮНГ-ВП-2020-1,к.1ВП - т.вр.2,Нефтеюганский,72.19,60.83444444444444,земли промышленности; земли лесного фонда ,0.31,не учитывается,вне акваторий,2020-04-25 00:00:00
237,ВНЭ,РН-ЮНГ-ВП-2020-2,к.1ВП - т.вр.2,Нефтеюганский,72.18916666666667,60.83555555555556,земли промышленности; земли лесного фонда ,0.2404,не учитывается,вне акваторий,2020-10-13 00:00:00
238,подтоварная вода,РН-ЮНГ-ВП-2020-3,10 м от т.вр.5 в сторону к.6ВП,Нефтеюганский,72.21555555555555,60.82333333333334,земли лесного фонда,0.0028,не учитывается,вне акваторий,2020-07-14 00:00:00
240,ВНЭ,РН-ЮНГ-2013-16, к.152-уз.29 (за обвал. к.152),Сургутский,73.4176,61.1051,земли лесного фонда,0.0811,не учитывается,вне акватоий,2012-06-04 00:00:00
241,ВНЭ,РН-ЮНГ-2013-17,Уз.28 - Уз.29,Сургутский,73.4177,61.10469,земли лесного фонда,0.0114,не учитывается,вне акватоий,2013-02-04 00:00:00
242,ВНЭ,РН-ЮНГ-2013-18,уз.28 - уз.29,Сургутский,73.3877,61.1027,земли лесного фонда,0.0231,не учитывается,вне акватоий,2013-03-03 00:00:00
243,ВНЭ,РН-ЮНГ-2013-19,уз.28 - уз.29,Сургутский,73.3932,61.1049,земли лесного фонда,0.1833,не учитывается,вне акватоий,2013-04-02 00:00:00
244,газовая смесь,РН-ЮНГ-2013-23,т.1 - т.1в,Сургутский,73.3733,61.14341,земли лесного фонда,0.1037,не учитывается,вне акватоий,2013-06-07 00:00:00
245,ВНЭ,РН-ЮНГ-2013-24,Уз.28 - уз.29,Сургутский,73.38746,61.10271,"земли лесного фонда, земли промышленности, земли запаса",0.5614,не учитывается,вне акватоий,2013-07-22 00:00:00
246,подтоварная вода,РН-ЮНГ-2014-11,КНС-203 - к.203 - к.204а (от к.203 = 10м),Сургутский,73.7713888888889,61.09138888888889,земли запаса,0.5142,не учитывается,вне акватоий,2014-02-20 00:00:00
247,ВНЭ,РН-ЮНГ-2015-9,к.203-уз.34,Сургутский,73.76994,61.09188,земли запаса,0.129,соо-ует реги-му нор-у пост.466-П, -,до 2010 г.
248,подтоварная вода,РН-ЮНГ-ВС-2018-1,КНС-205 - т.6 - т.3,Нефтеюганский,73.73166666666667,61.065555555555555,земли запаса ,0.01621519,не учитывается,вне акваторий,07.11.2018 09:30
249,ВНЭ,РН-ЮНГ-ВС-2019-1,к.210 - уз.4,Сургутский,73.79055555555556,61.07527777777778,"земли промышленности, земли запаса ",0.0157,не учитывается,вне акватоий,2019-09-03 00:00:00
250,ВНЭ,РН-ЮНГ-ВС-2020-1,т.47-ДНС-1,Сургутский,73.46083333333334,61.14416666666666,"земли лесного фонда, земли промышленности, земли запаса",0.3207,не учитывается,вне акватоий,2020-05-19 00:00:00
251,ВНЭ,РН-ЮНГ-ВС-2020-2,уз.ДНС-ВС - уз.1,Сургутский,73.46055555555556,61.14416666666666,"земли промышленности, земли запаса ",0.2674,не учитывается,вне акватоий,2020-05-25 00:00:00
252,ВНЭ,РН-ЮНГ-ВС-2020-3,от к.210 = 300м.,Сургутский,73.78666666666666,61.0775,"земли лесного фонда, земли промышленности, земли запаса",0.393,не учитывается,вне акватоий,2020-06-04 00:00:00
253,ВНЭ,РН-ЮНГ-ВС-2020-4,от к.210 = 200м,Сургутский,73.78888888888889,61.077222222222225,"земли лесного фонда, земли промышленности, земли запаса",0.3989,не учитывается,вне акватоий,2020-07-11 00:00:00
254,ВНЭ,РН-ЮНГ-ВС-2020-5,от уз.15 = 3м,Сургутский,73.76305555555555,61.05166666666666,земли запаса ,0.011,не учитывается,вне акватоий,2020-08-18 00:00:00
255,ВНЭ,РН-ЮНГ-ВС-2020-6,от к.208 = 4м.,Сургутский,73.73361111111112,61.07027777777778,"земли промышленности, земли запаса ",0.1277,не учитывается,вне акватоий,2020-11-10 00:00:00
